city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
,2017-02-17,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[DAS Gunaratne],Melbourne Cricket Ground,Sri Lanka,Australia, Sri Lanka,field
Victoria,2017-02-19,T20,"{by={wickets=2}, winner=Sri Lanka}",20,[DAS Gunaratne],"Simonds Stadium, South Geelong",Sri Lanka,Australia, Sri Lanka,field
,2017-02-22,T20,"{by={runs=41}, winner=Australia}",20,[A Zampa],Adelaide Oval,Australia,Australia, Sri Lanka,field
London,2017-06-03,ODI,"{by={runs=96}, winner=South Africa}",50,[Imran Tahir],Kennington Oval,South Africa,South Africa, Sri Lanka,field
London,2017-06-08,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[BKG Mendis],Kennington Oval,Sri Lanka,India, Sri Lanka,field
Cardiff,2017-06-12,ODI,"{by={wickets=3}, winner=Pakistan}",50,[Sarfraz Ahmed],Sophia Gardens,Pakistan,Pakistan, Pakistan,field
,2016-09-18,ODI,"{by={wickets=4}, winner=Australia}",50,,Rangiri Dambulla International Stadium,Australia, Australia, Sri Lanka,bat
Colombo,2016-09-25,ODI,"{by={runs=137}, winner=Australia}",50,[NE Bolton],Khettarama Stadium,Australia, Australia, Australia,bat
Colombo,2016-09-27,T20,"{by={wickets=10}, winner=Australia}",20,[KM Beams],Sinhalese Sports Club Ground,Australia, Australia, Australia,field
Colombo,2016-11-15,ODI,"{by={wickets=5}, winner=England}",50,,R Premadasa Stadium,England, England, Sri Lanka,bat
Colombo,"2016-11-17, 2016-11-18",ODI,"{by={runs=162}, winner=England}",50,,R Premadasa Stadium,England, England, England,bat
,"2016-10-29, 2016-10-30, 2016-10-31, 2016-11-01, 2016-11-02",Test,"{by={runs=225}, winner=Sri Lanka}",,[AG Cremer],Harare Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,bat
,"2016-11-06, 2016-11-07, 2016-11-08, 2016-11-09, 2016-11-10",Test,"{by={runs=257}, winner=Sri Lanka}",,[HMRKB Herath],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,field
,2016-11-14,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[DM de Silva],Harare Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,field
,2016-11-16,ODI,"{by={runs=62}, winner=West Indies}",50,[JO Holder],Harare Sports Club,West Indies, West Indies, Sri Lanka,field
Bulawayo,2016-11-21,ODI,{result=no result},50,,Queens Sports Club,no result,Zimbabwe, Zimbabwe,bat
Bulawayo,2016-11-23,ODI,"{by={runs=1}, winner=Sri Lanka}",50,[BKG Mendis],Queens Sports Club,Sri Lanka, West Indies, West Indies,field
Bulawayo,2016-11-27,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[BKG Mendis],Queens Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,bat
Colombo,2016-11-09,ODI,"{by={wickets=8}, winner=England}",50,,Sinhalese Sports Club Ground,England, England, Sri Lanka,bat
